"year","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H13","H14","H15","H17","H18","H19","H20a","H21a","H20b","H21b"
2006,4.308,5.18,5.628,24.68,-0.1997,-0.01175,4.818,-0.1397,-0.01345,2.413,-0.06008,-0.0557,6.458,-0.04021,-0.02296,5.949,-0.1115,-0.02962,-0.08834,-0.01431
2007,3.5,5.692,6.011,24.63,-0.08917,-0.01068,4.119,-0.09435,-0.01191,2.47,-0.05607,-0.04648,5.645,-0.063,-0.02048,5.187,-0.1032,-0.02758,-0.06572,-0.01458
2008,3.167,5.322,5.69,32.81,-0.1424,-0.008533,3.976,-0.12,-0.01106,2.276,-0.07304,-0.04261,4.721,-0.04883,-0.01443,4.696,-0.09268,-0.03482,-0.05439,-0.0177
2009,2.984,5.442,5.866,27.46,-0.2005,-0.008555,3.567,-0.14,-0.009239,2.261,-0.06138,-0.0496,4.814,-0.04821,-0.0251,4.631,-0.05058,-0.03614,-0.03779,-0.01858
2010,3.188,5.356,5.781,26.68,-0.1459,-0.009851,4.648,-0.09067,-0.01315,2.5,-0.05215,-0.03192,5.572,-0.0645,-0.01917,5.661,-0.08546,-0.03109,-0.06926,-0.01686
2011,2.762,5.448125,5.8226,21.626,-0.1553675,-0.01403,4.37555,-0.159445,-0.008509,2.613075,-0.037725,-0.02065,6.131775,-0.035645,-0.01214,6.187775,-0.1171875,-0.0449875,-0.0857175,-0.0415475
2012,6.683,5.2585,5.482175,19.708,-0.1023875,-0.01088,3.534475,-0.152845,-0.0190725,2.156175,-0.03501,-0.034645,5.254525,-0.04348,-0.0184,5.20375,-0.0845966666666667,-0.054195,-0.101476666666667,-0.0489825
2013,6.768275,5.050025,5.279925,16.186,-0.11058,-0.01443,3.1304,-0.05301,-0.01197,1.7071,-0.066755,-0.038465,5.7078,-0.064535,-0.02074,5.71616666666667,-0.0854025,-0.0537175,-0.04691,-0.0648775
2014,5.8141,5.589825,5.6854,18.037,-0.00676,-0.00783,3.758175,-0.01806,-0.01429,2.281875,-0.0615075,-0.04207,6.049375,-0.05611,-0.0220475,6.337,-0.11534,-0.03995,-0.05908,-0.0311225
2015,7.596,5.1951,5.4622,14.12375,-0.18915,-0.0107075,3.833825,-0.1369275,-0.0111325,1.93,-0.0947275,-0.043605,8.1685,-0.0638125,-0.02044,8.21575,-0.067785,-0.0582575,-0.021315,-0.0463
2016,7.4895,5.286875,5.4742,13.6795,-0.08312,-0.0122425,3.0132,-0.05753,-0.0165666666666667,1.89765,-0.10505,-0.0333775,7.15375,-0.102275,-0.0209933333333333,7.247,-0.06058,-0.055595,-0.03214,-0.0372575
2017,8.154,5.4616,5.65535,16.2505,-0.0552375,-0.01278,4.1998,-0.09065,-0.0147375,2.269725,-0.047755,-0.04621,6.55925,-0.0456175,-0.0146175,6.518825,-0.10032,-0.0406025,-0.10482,-0.0299425
2018,8.03575,6.0675,6.286325,14.43025,-0.1113975,-0.012615,3.39905,-0.0384675,-0.011955,2.64845,-0.0609866666666667,-0.04297,6.133275,-0.0824775,-0.02578,6.181175,-0.05049,-0.0328,-0.0568325,-0.0311425
2019,7.5925,6.08785,6.2426,13.4295,-0.14688,-0.0075775,4.1168,-0.14826,-0.0084075,2.78075,-0.06954,-0.04821,6.56833333333333,-0.07295,-0.02224,6.55,-0.1343025,-0.0374425,-0.09751,-0.0335625
2020,6.821,5.9117,6.1141,15.734,-0.08797,-0.00815,3.43113333333333,-0.1161975,-0.012235,2.652475,-0.076255,-0.0331375,5.4095,-0.067315,-0.01748,5.26325,-0.092085,-0.0464575,-0.0783925,-0.03349
2021,7.85766666666667,5.69685,5.9914,16.605,-0.125275,-0.00599,3.61255,-0.09413,-0.00972,2.564125,-0.074985,-0.0409975,6.01145,-0.0604475,-0.0244625,6.0437,-0.1051425,-0.03892,-0.0711775,-0.0333
2022,6.409725,5.5275,5.7165,15.22475,-0.0294075,-0.01185,3.77505,0.0170475,-0.0127425,2.3988,-0.0661475,-0.030555,5.565175,-0.05765,-0.0250125,5.60185,-0.05562,-0.0441075,-0.0422,-0.0334925
