"year","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H13","H14","H15","H17","H18","H19","H20a","H21a","H20b","H21b"
2006,4.308,5.18,5.628,24.68,-0.1997,-0.01175,4.818,-0.1397,-0.01345,2.413,-0.06008,-0.0557,6.458,-0.04021,-0.02296,5.949,-0.1115,-0.02962,-0.08834,-0.01431
2007,3.5,5.692,6.011,24.63,-0.08917,-0.01068,4.119,-0.09435,-0.01191,2.47,-0.05607,-0.04648,5.645,-0.063,-0.02048,5.187,-0.1032,-0.02758,-0.06572,-0.01458
2008,3.167,5.322,5.69,32.81,-0.1424,-0.008533,3.976,-0.12,-0.01106,2.276,-0.07304,-0.04261,4.721,-0.04883,-0.01443,4.696,-0.09268,-0.03482,-0.05439,-0.0177
2009,2.984,5.442,5.866,27.46,-0.2005,-0.008555,3.567,-0.14,-0.009239,2.261,-0.06138,-0.0496,4.814,-0.04821,-0.0251,4.631,-0.05058,-0.03614,-0.03779,-0.01858
2010,3.188,5.356,5.781,26.68,-0.1459,-0.009851,4.648,-0.09067,-0.01315,2.5,-0.05215,-0.03192,5.572,-0.0645,-0.01917,5.661,-0.08546,-0.03109,-0.06926,-0.01686
2011,2.762,5.3688,5.7546,20.414,-0.21282,-0.01403,4.335,-0.03415,-0.21192,2.5463,-0.04538,-0.03343,6.0362,-0.0428,-0.0239,6.1701,-0.19196,-0.06239,-0.1617,-0.0486
2012,6.683,5.251,5.4755,19.708,-0.14621,-0.02008,3.5218,-0.02498,-0.19363,2.1511,-0.06903,-0.05169,5.2284,-0.06447,-0.02634,5.1734,-0.11727,-0.07054,-0.15114,-0.06583
2013,6.0194,5.0288,5.268,16.022,-0.13902,-0.01473,3.1211,-0.02851,-0.12991,1.707,-0.08564,-0.04858,5.7013,-0.07144,-0.02808,5.71,-0.112,-0.05825,-0.07633,-0.07135
2014,5.7477,5.5646,5.6761,17.576,-0.05067,-0.01664,3.7476,-0.02025,-0.05162,2.2772,-0.07999,-0.04753,6.042,-0.07219,-0.03185,6.3105,-0.16138,-0.05701,-0.07051,-0.04126
2015,7.438,5.1951,5.4622,13.912,-0.21542,-0.02506,3.7938,-0.0189,-0.22943,1.8939,-0.11674,-0.05897,8.09,-0.07429,-0.02864,8.197,-0.0948,-0.0716,-0.06765,-0.05021
2016,7.117,5.2329,5.4644,13.469,-0.15612,-0.02498,2.9392,-0.02828,-0.12919,1.8549,-0.11669,-0.05051,7.149,-0.1132,-0.02858,7.234,-0.10986,-0.07217,-0.09594,-0.04227
2017,7.295,5.4616,5.6041,15.852,-0.11041,-0.01628,4.1462,-0.02664,-0.14553,2.204,-0.05332,-0.04621,6.511,-0.0537,-0.02607,6.4072,-0.13493,-0.04734,-0.10482,-0.04406
2018,6.657,6.0283,6.2519,14.048,-0.1665,-0.02007,3.3834,-0.02341,-0.11959,2.6327,-0.06992,-0.05085,6.0967,-0.09669,-0.03751,6.1385,-0.07603,-0.04763,-0.06825,-0.04336
2019,6.969,6.0145,6.214,13.34,-0.19328,-0.01215,4.1168,-0.01571,-0.18043,2.7195,-0.0725,-0.05573,6.546,-0.07295,-0.02684,6.528,-0.2316,-0.04774,-0.17331,-0.03854
2020,6.625,5.8919,6.0857,15.311,-0.14145,-0.01274,3.3998,-0.01649,-0.12991,2.6329,-0.11424,-0.05041,5.3584,-0.09013,-0.03185,5.2158,-0.10785,-0.08592,-0.09495,-0.04119
2021,7.613,5.66,5.9708,15.801,-0.21562,-0.01289,3.6007,-0.01764,-0.18278,2.5348,-0.09058,-0.06229,5.9579,-0.07106,-0.03092,5.9682,-0.17681,-0.06499,-0.0988,-0.04347
2022,5.9566,5.5168,5.7091,15.077,-0.0354,-0.01965,3.7631,-0.02416,-0.04373,2.3876,-0.0925,-0.04781,5.5096,-0.07041,-0.03192,5.553,-0.07344,-0.05205,-0.07183,-0.043
