"year","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H13","H14","H15","H17","H18","H19","H20a","H21a","H20b","H21b"
1997,5.719,6.857,7.189,55.28,0.2141,0.004446,5.82,0.124,0.004238,3.936,0.1221,0.06365,8.66,0.04109,0.01714,7.49,0.1042,0.03392,0.05562,0.009431
1998,7.17,7.194,7.757,90.03,0.2019,0.008192,7.65,0.08794,0.005775,4.629,0.151,0.07164,9.84,-0.009761,0.02004,7.24,0.06584,0.02613,0.07651,0.008885
1999,6.461,6.513,6.865,76.54,0.1659,0.009014,5.835,0.07976,0.008611,3.625,0.09291,0.07875,8.82,0.09293,0.02954,6.095,0.1281,0.05196,0.07735,0.02005
2000,5.394,6.72,7.083,67.65,0.163,0.006332,5.773,0.1132,0.008478,3.838,0.1068,0.0589,8.25,0.08811,0.02127,6.433,0.09384,0.04253,0.06107,0.01139
2001,6.23,6.568,6.924,50.65,0.1492,0.009348,5.274,0.1487,0.01025,3.649,0.08452,0.03547,8.31,0.06352,0.01771,6.021,0.07143,0.04135,0.08817,0.01274
2002,4.602,6.524,6.91,55.89,0.201,0.009284,5.48,0.156,0.008114,3.648,0.1275,0.05366,8.14,0.01648,0.01904,6.283,0.08446,0.04085,0.09959,0.01469
2003,5.041,6.83,7.089,70.39,0.1995,0.008384,6.84,0.1585,0.007891,4.033,0.1528,0.08779,8.98,0.02127,0.0415,7.24,0.08539,0.04185,0.08118,0.01107
2004,5.876,6.165,6.507,58.95,0.1473,0.006814,5.721,0.1064,0.007127,3.318,0.1025,0.05956,9.47,0.03126,0.01726,7.35,0.1244,0.03547,0.06399,0.0111
2005,5.842,6.545,6.979,56.94,0.2179,0.007729,6.159,0.1581,0.006642,3.849,0.08309,0.03968,8.77,0.03531,0.02212,7.09,0.08691,0.05515,0.09789,0.01728
2006,6.126,6.402,6.782,66.87,0.1291,0.009239,6.152,0.164,0.00901,3.615,0.1238,0.06464,8.95,0.07096,0.02618,7.57,0.08406,0.05466,0.09537,0.02149
2007,5.552,6.79,7.112,62.3,0.1818,0.00689,5.981,0.1377,0.005453,3.878,0.1027,0.06653,8.38,0.02336,0.016,6.69,0.08686,0.05319,0.09793,0.01766
2008,6.68,6.281,6.564,61.38,0.2139,0.008284,5.139,0.1472,0.007635,3.288,0.09455,0.09676,8.36,0.01562,0.009079,6.256,0.1441,0.04859,0.1287,0.01573
2009,5.069,6.543,6.874,58.96,0.2162,0.009147,5.326,0.1448,0.01007,3.669,0.1166,0.02848,8.91,0.1131,0.006174,6.463,0.1264,0.0315,0.1275,0.009014
2010,5.309,6.199,6.775,82.02,0.1629,0.00436,6.274,0.1614,0.004932,3.705,0.1909,0.08853,9.24,0.07159,0.02337,6.52,0.1341,0.04435,0.122,0.01735
2011,5.587,6.545,6.91,62.09,0.208415,0.0067725,5.916,0.2260375,0.01056,3.689,0.1435,0.07792,8.41,0.039355,0.023835,8.9915,0.13667,0.0454525,0.25869,0.022595
2012,10.6175,7.0836,7.279025,43.95575,0.2834725,0.00545,4.971325,0.375465,0.0093875,3.894775,0.08687,0.041,8.179,0.08251,0.0189875,8.583,0.174885,0.0366666666666667,0.2569925,0.0216633333333333
2013,10.842,7.3107,7.52155,46.58425,0.32061,0.00711,6.1121,0.2535425,0.004125,4.2183,0.1365475,0.03462,8.1155,0.02331,0.0139375,8.92725,0.1760475,0.0374475,0.3325775,0.011415
2014,12.51575,6.90325,7.07265,41.9455,0.24238,0.0042775,4.90185,0.29608,0.0024875,3.7008,0.08466,0.02743,8.7795,0.0089225,0.017045,9.301,0.1933475,0.050545,0.2446025,0.01883
2015,12.28475,6.6466,6.9774,49.425,0.2900225,0.00899,6.132125,0.223895,0.0080875,3.6982,0.09216,0.0646025,9.19025,0.05041,0.0135625,9.695,0.1951325,0.033145,0.255835,0.003585
2016,12.2585,6.918675,7.18955,35.87525,0.2782425,0.010085,6.3294,0.30738,0.003855,3.9917,0.1297225,0.057395,9.57225,0.0373225,0.023095,8.65833333333333,0.2029675,0.02994,0.2223625,0.01076
2017,11.2525,6.69975,6.77335,40.67625,0.27627,0.0103166666666667,5.47425,0.244135,0.00575333333333333,3.345,0.08737,0.039405,9.51025,0.05387,0.020985,8.2085,0.14512,0.04271,0.1895175,0.02222
2018,10.7725,6.78525,6.8342,41.962,0.3568675,0.0081875,5.403725,0.3349025,0.006485,3.565125,0.06084,0.038795,8.51925,0.04509,0.0165575,7.626,0.1344425,0.023795,0.1758225,0.00973
2019,10.776,7.00325,7.24095,41.6895,0.2558325,0.0074175,5.726925,0.2186625,0.007855,3.933875,0.0707975,0.054625,8.90475,0.026295,0.008605,8.0245,0.13996,0.055975,0.2517075,0.0219675
2020,12.8635,6.8283,7.019525,40.09275,0.26584,0.0056075,5.399575,0.2401375,0.00798,3.75615,0.08219,0.0387975,7.868,0.0225425,0.0099275,7.81225,0.162235,0.03988,0.1969075,0.0137375
2021,11.4665,6.37145,6.654,31.1485,0.217055,0.006225,5.02515,0.2189375,0.0062825,3.33235,0.05293,0.032695,8.697,0.02095,0.01961,8.12625,0.17732,0.0472125,0.16978,0.0173925
2022,11.747,6.4539,6.7288,38.996,0.2220375,0.00954,5.254475,0.24499,0.00431,3.438525,0.0617275,0.03809,8.50275,0.0075275,0.0117675,7.51575,0.183545,0.02625,0.216405,0.0098475
