"year","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H13","H14","H15","H17","H18","H19","H20a","H21a","H20b","H21b"
2005,218.505,235.061,251.647,1884.4,2.8655875,-0.0809987,248.372,0.807957,-0.0593044,151.001,0.8101751,0.3607238,327.299,-0.007156,0.1863019,203.486,0.279986,0.169928964,0.703766,-0.1004413
2006,231.307,217.061,233.773,2211.54,-0.066596,-0.0371504,243.692,-0.7222648,-0.0021391,135.294,1.553744,0.6196444,336.348,0.49555,0.00557308999999999,201.792,0.2793956,0.2222297,0.9307278,-0.10440349
2007,214.255,228.602,243.51,2027.93,0.793727,1.00000000000001e-05,233.087,0.916462,-0.0658723,145.231,0.304317,0.3296137,300.129,-0.382866,0.0267168,174.401,1.1992706,-0.0656442,1.6375325,-0.2400912
2008,210.412,222.348,236.331,2117.74,0.8588032,0.03259616,208.502,0.4416579,-0.0044895,129.162,0.378125,0.1860252,270.312,-0.5874558,-0.00672219,160.999,1.6526623,-0.133716,2.499783,-0.2849118
2009,173.22,229.082,242.43,1982.11,1.659144,-0.03265372,217.258,1.3032106,-0.05375245,137.959,0.650684,-0.1440208,290.868,0.379693,-0.2097294,168.263,0.939425,0.03796164,1.4881941,-0.18889393
2010,193.441,217.603,233.508,2271.17,0.422919,-0.0899864,240.01,0.082344,-0.07172017,137.108,1.8064449,0.886859,317.387,-0.6022361,0.132207,177.627,1.7691792,-0.1679966,2.274549,-0.267847
2011,176.368,608.7185,647.2986,4026.352,2.442282,-0.1685638,671.9758,1.184425,-0.064990088,403.7304,5.61096,1.32543,882.2249,1.42798,0.33025,878.2242,5.24691,-0.48172,15.55429,-2.53009
2012,1711.771,937.8839,960.1748,5318.249,16.27268,-0.40002,788.5289,19.15591,-0.92033,538.1025,2.01473,0.63967,1124.4147,1.66619,0.0622,790.9399,10.11448,-2.38011,19.53918,-3.3835
2013,1629.7484,940.3367,969.7193,6206.887,14.23961,-0.16161,838.2362,18.72751,-0.88524,528.9601,-0.67771,0.3668,1219.3647,-2.42966,-0.1993,854.1458,9.62069,-2.17279,19.77251,-3.57768
2014,1771.3216,969.5001,994.8631,5318.981,17.581,-0.31731,800.7208,20.02727,-1.0293,563.983,-0.58234,0.16997,1237.2018,-2.8115,-0.42615,919.9412,6.47914,-0.88188,11.07488,-1.63771
2015,1873.789,909.1914,953.0363,5548.551,8.627,-0.15529,935.3308,10.91634,-0.39767,527.0074,0.23992,0.72749,1530.016,-1.97086,-0.46032,1046.145,15.00572,-3.86729,23.77923,-4.28085
2016,1849.344,950.4891,984.2159,4305.206,22.53063,-0.51593,897.9151,24.90499,-1.21222,539.7523,3.80414,2.20797,1454.599,-4.89177,-0.04738,950.181,9.446,-1.88796,16.02341,-2.67268
2017,1785.85,917.8518,942.9629,5103.156,19.11533,-0.23377,860.0463,20.03206,-0.77598,511.5242,4.98142,1.31357,1376.508,0.70913,0.54686,859.5108,7.51972,-1.51823,13.23881,-2.06458
2018,1722.759,969.7904,996.7648,4017.748,20.69917,-0.24281,861.193,21.5864,-0.85386,578.7026,1.26664,1.09558,1323.7457,-1.96404,0.13003,811.4677,7.8141,-1.36373,12.79013,-2.0357
2019,1732.196,995.2983,1033.7239,4924.036,13.63373,-0.1887,904.2036,10.08399,-0.34385,620.1799,-0.36256,0.95198,1349.256,-2.67031,-0.43747,864.406,4.38886,-0.20609,7.90109,-0.93838
2020,1824.69,976.2409,1006.8655,4912.029,16.19967,-0.17991,848.6677,15.52191,-0.59435,583.583,-1.19925,0.67059,1247.3631,-2.88955,-0.4084,781.038,6.72173,-1.26989,10.37471,-1.57186
2021,1732.714,920.3254,954.484,4504.219,8.69887,-0.05164,798.8004,10.46878,-0.40784,528.4881,-2.55881,0.24728,1235.6963,-1.65977,-0.3447,798.0282,4.05721,-0.14415,9.14832,-1.20098
2022,1621.178,914.8991,949.4537,4905.853,14.40042,-0.55654,841.0933,18.48239,-0.84487,530.1514,-0.71938,-0.31281,1226.9662,-2.99628,-0.05964,745.924,7.94321,-1.54995,10.63098,-1.58618
