hours_since_20110102,year,month,day,temp_bottom_40_47N_50_200m,temp_bottom_40_47N_250_500m,temp_250_500m_40_47N_250_500m,temp_50_200m_40_47N_250_500m,temp_200_500m_40_47N_250_500m,temp_0_50m_40_47N_50_150km,temp_0_150m_40_47N_80_120km,mld_40_47N_250_500m,ualong_50_200m_40_47N_250_500m,ualong_200_500m_40_47N_250_500m,ualong_0_50m_40_47N_50_150km,ualong_0_150m_40_47N_80_120km,ualong_bottom_40_47N_50_150m,ualong_bottom_40_47N_150_500m,ucross_50_200m_40_47N_250_500m,ucross_200_500m_40_47N_250_500m,ucross_0_50m_40_47N_50_150km,ucross_0_150m_40_47N_80_120km,ucross_bottom_40_47N_50_150m,ucross_bottom_40_47N_150_500m
0,2011,1,2,9.9342,5.976,6.4619,8.8601,6.7923,10.422,10.448,32.022,0.06056,-0.04654,0.0668,0.02453,-0.00553,-0.02511,0.00104,-0.00166,0.02306,0.01168,0.00407,0.00512
24,2011,1,3,9.9056,5.9296,6.4165,8.8469,6.7508,10.396,10.407,32.349,0.04101,-0.05139,0.05764,0.02401,-0.02868,-0.0236,0.00118,0.00225,-0.00581,-0.00119,0.00738,0.00629
48,2011,1,4,9.874,5.9094,6.3883,8.8463,6.7286,10.372,10.364,33.108,0.04922,-0.0384,0.06014,0.02365,-0.02151,-0.00955,0.0007,-0.00197,0.00472,0.00264,0.00438,0.00017
72,2011,1,5,9.8576,5.9111,6.3716,8.8445,6.7095,10.351,10.329,33.506,0.06471,-0.01628,0.06791,0.03502,0.00419,0.00683,-0.00233,-0.00012,-0.00127,0.00093,-0.00197,0.00053
96,2011,1,6,9.6786,5.9329,6.3704,8.7307,6.6996,10.306,10.338,32.589,0.05983,-0.01562,0.07349,0.03926,-0.00848,-0.00097,0.00114,-0.00291,0.02765,0.01983,-0.00328,-0.00085
120,2011,1,7,9.6775,5.903,6.3358,8.723,6.6671,10.302,10.329,32.436,0.03666,-0.03104,0.06174,0.03955,-0.0129,-0.01568,-0.00251,0.004,0.00441,-0.00245,0.00315,0.00595
144,2011,1,8,9.6712,5.8728,6.3097,8.7102,6.6408,10.288,10.314,32.489,0.01347,-0.04564,0.06719,0.04326,-0.02722,-0.02748,0.00273,-0.00027,0.00423,0.0059,0.01081,0.00377
168,2011,1,9,9.6403,5.8156,6.2599,8.678,6.5925,10.259,10.283,32.506,-0.01933,-0.06793,0.03995,0.02108,-0.04632,-0.04094,0.00278,0.00423,-0.00374,0.00356,0.02003,0.01017
192,2011,1,10,9.542,5.734,6.1882,8.5975,6.5165,10.24,10.288,32.732,-0.05581,-0.09382,0.0535,0.03517,-0.0679,-0.05346,0.0031,0.0043,-0.00212,-0.00029,0.023,0.01157
216,2011,1,11,9.4531,5.6696,6.1456,8.5757,6.4798,10.201,10.248,33.557,-0.07198,-0.1057,0.04591,0.02615,-0.04933,-0.05077,0.00381,0.00322,0.0126,0.00679,0.01782,0.00707
240,2011,1,12,9.4319,5.6784,6.1588,8.5896,6.4933,10.162,10.206,34.607,-0.03242,-0.06552,0.06585,0.03529,0.01206,-0.00132,-0.00062,-0.00278,0.03863,0.01507,-0.01343,-0.0067
264,2011,1,13,9.5313,5.7553,6.2076,8.6494,6.5399,10.137,10.169,37.784,0.04201,-0.00027,0.06906,0.04042,0.14341,0.05405,-0.0102,-0.00457,0.06944,0.02775,-0.0547,-0.01322
288,2011,1,14,9.2817,5.8182,6.2412,8.6075,6.568,10.086,10.17,39.772,0.05565,0.00535,0.06208,0.04162,0.17337,0.03265,0.00077,0.00179,0.0469,0.02224,-0.03006,-0.00231
312,2011,1,15,9.3625,5.7655,6.1776,8.5797,6.5032,10.103,10.177,37.504,-0.00606,-0.05019,0.06286,0.034,0.05417,-0.02808,0.00564,0.00718,0.01711,0.00927,-0.00421,0.01059
336,2011,1,16,9.43,5.6884,6.1215,8.5504,6.4491,10.113,10.181,34.328,-0.03904,-0.08027,0.05248,0.02484,0.00534,-0.04673,0.00297,0.0022,0.02787,0.0138,-0.00181,0.00988
360,2011,1,17,9.5229,5.6615,6.1031,8.5383,6.4295,10.126,10.18,30.226,-0.03643,-0.06516,0.04406,0.02423,0.00669,-0.01924,-0.00169,0.00519,0.01415,0.0105,-0.00188,0.00797
384,2011,1,18,9.6936,5.7351,6.199,8.7619,6.5468,10.252,10.326,30.394,-0.01432,-0.05171,0.07588,0.04831,0.00264,-0.0086,0.00698,-0.00136,0.00074,0.00031,0.00629,0.0039
408,2011,1,19,9.6532,5.6896,6.1435,8.7089,6.4895,10.241,10.305,29.844,-0.04535,-0.0629,0.06755,0.0407,-0.03287,-0.02611,0.00434,0.00939,-0.00221,9e-05,0.02033,0.01343
432,2011,1,20,9.6231,5.5855,6.048,8.6332,6.3938,10.216,10.268,30.008,-0.11291,-0.12172,0.0588,0.03756,-0.11048,-0.0776,0.01033,0.00728,-0.00693,0.00138,0.04344,0.01964
456,2011,1,21,9.5733,5.4957,5.9878,8.583,6.3415,10.194,10.235,30.09,-0.1429,-0.13904,0.0483,0.03309,-0.12465,-0.07228,0.00544,0.00656,-0.00533,-0.00073,0.04162,0.01565
480,2011,1,22,9.7257,5.3966,5.8724,8.4821,6.2097,10.282,10.315,29.261,-0.12739,-0.10014,0.05541,0.04077,-0.0627,-0.02254,-0.00096,0.0028,-0.00702,0.00024,0.01823,0.004
504,2011,1,23,9.685,5.4543,5.9013,8.4695,6.2292,10.281,10.31,29.566,-0.0483,-0.02273,0.07308,0.05364,0.01488,0.05031,0.00095,-0.00083,-0.00858,-0.0037,0.00377,-0.00859
528,2011,1,24,9.655,5.5473,5.9515,8.4663,6.2655,10.277,10.303,30.126,0.02356,0.05667,0.09006,0.06223,0.05391,0.09975,-0.00094,-0.01111,0.00048,0.00064,-0.01489,-0.01973
552,2011,1,25,9.642,5.6657,5.9997,8.467,6.2926,10.276,10.295,30.551,0.08212,0.11413,0.1025,0.07515,0.06415,0.12169,-0.00298,-0.00035,0.00171,0.00077,-0.01707,-0.01017
576,2011,1,26,9.6585,5.6479,5.9331,8.4958,6.2109,10.403,10.448,31.345,0.06121,0.1204,0.1042,0.07522,0.02358,0.10644,-0.00016,-0.00578,0.0024,0.00321,-0.00644,-0.01672
600,2011,1,27,9.6361,5.696,5.9478,8.4904,6.2153,10.415,10.454,31.392,0.06386,0.11976,0.09558,0.06615,-0.00312,0.08476,-0.00094,-0.00449,0.00161,0.00106,0.00945,-0.00883
624,2011,1,28,9.6242,5.7639,5.9914,8.495,6.2481,10.432,10.463,31.103,0.09348,0.14833,0.11147,0.07935,0.01547,0.10152,-0.00364,-0.00629,0.00956,0.00487,-0.0041,-0.01202
648,2011,1,29,9.6387,5.8115,6.0215,8.497,6.2689,10.443,10.463,30.625,0.08688,0.14081,0.09768,0.06847,0.02347,0.07663,-0.00457,-0.00416,0.01428,0.00685,-0.01275,-0.00838
672,2011,1,30,9.7748,5.9017,6.1444,8.7978,6.4158,10.532,10.565,32.797,0.02175,0.06018,0.1041,0.07827,-0.04134,-0.00441,0.00348,0.00075,0.01211,0.01077,0.0209,0.00825
696,2011,1,31,9.5801,5.807,6.0876,8.7624,6.3634,10.535,10.562,31.517,-0.07797,-0.03225,0.06799,0.04728,-0.12491,-0.0791,0.00371,0.00642,0.00633,0.00468,0.04306,0.01849
720,2011,2,1,9.5443,5.7047,6.0329,8.7318,6.3227,10.523,10.551,30.838,-0.13596,-0.09398,0.05418,0.04036,-0.12369,-0.1032,0.00098,0.00763,0.00553,0.00438,0.04686,0.02193
744,2011,2,2,9.5111,5.6276,6.0043,8.7085,6.3059,10.495,10.52,30.955,-0.15749,-0.11398,0.04234,0.03094,-0.09274,-0.08569,0.00168,0.00345,-0.0026,-0.00203,0.03243,0.01604
768,2011,2,3,9.4862,5.5821,5.9779,8.6801,6.2769,10.286,10.324,31.543,-0.14285,-0.08475,0.05478,0.04208,-0.04329,-0.04339,0.00068,0.00537,0.00842,0.00578,0.01688,0.00888
792,2011,2,4,9.44,5.5636,5.9669,8.6507,6.268,10.273,10.302,31.578,-0.11672,-0.06537,0.04365,0.03602,-0.02038,-0.01764,0.00225,-0.00034,0.00406,0,0.00816,0.00138
816,2011,2,5,9.4144,5.5732,5.9724,8.6164,6.2698,10.264,10.286,31.911,-0.09448,-0.03935,0.05315,0.04758,-0.00645,0.00595,-0.00284,0.00166,-0.00065,0.00186,0.00295,-0.00038
840,2011,2,6,9.3928,5.5831,5.9732,8.5728,6.2674,10.254,10.266,32,-0.08323,-0.02889,0.0468,0.04271,0.00345,0.01066,0.00037,-0.00027,-0.0043,-0.00097,0.00057,-0.00235
864,2011,2,7,9.5514,5.4748,5.846,8.682,6.1409,10.34,10.372,34.643,-0.12448,-0.02972,0.04778,0.05201,-0.01815,0.00888,-0.00093,0.00583,-0.00115,0.00056,0.00781,0.00441
888,2011,2,8,9.4663,5.467,5.8365,8.6304,6.1286,10.31,10.336,35.4,-0.13216,-0.04859,0.01359,0.02287,-0.03046,-0.00934,0.00641,-0.00019,-0.01635,-0.00341,0.02311,0.00061
912,2011,2,9,9.3231,5.4381,5.8101,8.5449,6.097,10.252,10.274,36.577,-0.15325,-0.06589,0.03326,0.03584,-0.03653,-0.02709,0.00221,0.01021,-0.02614,-0.00811,0.02232,0.01317
936,2011,2,10,9.2139,5.4126,5.7978,8.4915,6.0858,10.197,10.218,37.446,-0.17732,-0.09041,0.01351,0.01608,-0.04469,-0.04395,0.00257,-0.0014,-0.00297,0.00426,0.02051,0.00486
960,2011,2,11,9.3001,5.3688,5.7546,8.531,6.0463,10.245,10.282,37.595,-0.16665,-0.06948,0.03637,0.0383,-0.01155,-0.01133,-0.00713,0.0013,0.00663,0.00228,0.005,0.0021
984,2011,2,12,9.2691,5.4177,5.7999,8.5096,6.0895,10.237,10.272,37.231,-0.11529,-0.02365,0.01548,0.01947,0.05365,0.03542,-0.00455,-0.01136,0.03528,0.02213,-0.02451,-0.01536
1008,2011,2,13,9.2842,5.4926,5.8487,8.5008,6.1341,10.228,10.253,35.607,-0.05756,0.03289,0.03667,0.03858,0.1049,0.08017,-0.01208,-0.00559,0.02945,0.01278,-0.04067,-0.01706
1032,2011,2,14,9.3009,5.5912,5.9145,8.501,6.19,10.209,10.219,34.647,0.01419,0.09685,0.04062,0.03533,0.11672,0.11944,-0.00758,-0.01513,0.02971,0.01659,-0.0376,-0.02636
1056,2011,2,15,9.4037,5.8708,6.1503,8.5511,6.4178,10.172,10.179,33.139,0.1649,0.18997,0.06566,0.05187,0.19972,0.18145,-0.00874,-0.01019,0.0142,0.00654,-0.03342,-0.01915
1080,2011,2,16,9.369,6.0114,6.2414,8.5358,6.4888,10.131,10.13,31.541,0.22837,0.25424,0.06922,0.05005,0.18526,0.20167,-0.00646,-0.01077,0.01562,0.01455,-0.03846,-0.02361
1104,2011,2,17,9.295,6.0747,6.2638,8.5077,6.4944,10.082,10.072,31.251,0.24501,0.25477,0.09283,0.07091,0.11916,0.16546,-0.00471,-0.00336,0.0091,0.00711,-0.00815,-0.00838
1128,2011,2,18,9.1455,6.072,6.2477,8.4786,6.4665,10.034,10.022,31.496,0.19538,0.20517,0.07837,0.06169,-0.00402,0.09116,0.00108,-0.00198,0.00517,0.00899,0.01339,-0.00243
1152,2011,2,19,9.0958,6.0095,6.1972,8.527,6.4141,9.964,9.9487,31.942,0.13368,0.13837,0.08663,0.06697,-0.07407,0.02886,0.00137,-0.00224,0.00851,0.0124,0.03197,0.00057
1176,2011,2,20,9.0756,5.9994,6.1942,8.536,6.4138,9.9174,9.9036,32.265,0.09723,0.11336,0.05777,0.04378,-0.0876,0.01294,-0.00175,-0.00095,-0.01605,-0.00779,0.03747,0.00237
1200,2011,2,21,9.0505,5.9563,6.1708,8.5368,6.3992,9.8882,9.8765,33.131,0.07252,0.07342,0.0734,0.05602,-0.07225,-0.01326,-0.00345,-0.00259,0.00548,0.01068,0.0286,0.00583
1224,2011,2,22,9.0086,5.9435,6.1831,8.5614,6.4228,9.8815,9.8669,33.591,0.0425,0.05013,0.05578,0.04622,-0.05327,-0.02238,-0.00218,-0.00621,0.00449,0.00348,0.01921,0.00085
1248,2011,2,23,8.9534,5.9248,6.1777,8.5336,6.4197,9.7235,9.7248,34.162,0.03952,0.02135,0.04094,0.03602,-0.03693,-0.03403,-0.00271,-0.00459,0.00026,0.00997,0.01817,0.00383
1272,2011,2,24,8.8414,5.9279,6.2086,8.5442,6.4551,9.6668,9.673,36.157,0.02841,0.02798,0.01935,0.01881,-0.00539,-0.01791,-0.00484,-0.00557,-0.00839,-0.00244,-0.00103,-0.0006
1296,2011,2,25,8.6762,5.9168,6.2051,8.5335,6.4546,9.6006,9.6081,37.152,0.03685,0.02001,0.04291,0.03793,-0.00068,-0.01117,-0.00517,-0.0008,-0.00135,0.00976,0.0048,0.00365
1320,2011,2,26,8.6466,5.9461,6.2394,8.5441,6.4915,9.5362,9.5461,38.362,0.04651,0.04705,0.0442,0.03224,0.01803,0.01315,-0.00303,-0.0052,-0.01565,-0.00601,-0.00465,-0.00606
1344,2011,2,27,8.592,5.9461,6.2552,8.3811,6.5044,9.7134,9.7622,39.965,0.05216,0.01139,0.05881,0.04976,0.00556,-0.01555,-0.00174,-0.0108,0.00755,0.01195,0.00641,-0.00617
1368,2011,2,28,8.5319,5.9822,6.2926,8.371,6.537,9.6813,9.7389,40.348,0.04689,0.04018,0.02833,0.02294,-0.00408,0.00938,-0.00507,0.00133,0.00167,0.00338,0.00226,0.00153
1392,2011,3,1,8.5445,5.9899,6.294,8.376,6.5396,9.6704,9.7341,39.283,0.05441,0.03174,0.05391,0.04673,0.01198,0.00431,-0.00801,-0.00471,0.01973,0.01197,-0.00817,-0.00143
1416,2011,3,2,8.65,5.9976,6.3118,8.3988,6.5615,9.6664,9.7311,38.143,0.04447,0.02266,0.03167,0.03198,0.03244,-0.00248,-0.00902,-0.00508,0.06176,0.0357,-0.02383,-0.00586
1440,2011,3,3,9.1058,6.093,6.4651,8.6431,6.7499,9.7281,9.7657,37.595,0.04573,-0.02395,0.04336,0.04685,0.03387,-0.03906,-0.00363,-0.00562,0.05524,0.02678,-0.00994,0.00229
1464,2011,3,4,9.1175,6.0545,6.4657,8.6823,6.7636,9.6916,9.7227,36.631,0.00435,-0.04908,0.00322,0.0059,0.00297,-0.05068,-0.0031,0.001,0.03068,0.02076,-0.00695,0.00521
1488,2011,3,5,9.1189,6.024,6.4582,8.6972,6.7583,9.67,9.6957,36.409,0.0161,-0.04697,0.03698,0.02633,0.02462,-0.02895,-0.00412,-6e-05,0.01178,0.00972,-0.00537,0.00507
1512,2011,3,6,9.151,6.0852,6.5168,8.7381,6.8119,9.6692,9.6909,35.991,0.0625,0.02271,0.02473,0.01506,0.03335,0.03436,-0.00941,-0.00473,0.01009,0.00965,-0.00507,-0.00686
1536,2011,3,7,9.3269,6.1654,6.5417,8.7985,6.8194,9.7676,9.7623,35.552,0.15729,0.11969,0.05258,0.03489,0.0879,0.10663,-0.01211,-0.00636,-0.00673,-0.00265,-0.02166,-0.01356
1560,2011,3,8,9.2081,6.3168,6.6131,8.8041,6.8695,9.7671,9.7623,34.707,0.22019,0.18935,0.06504,0.03978,0.11101,0.13423,-0.00724,-0.01138,0.00564,0.00555,-0.02006,-0.01956
1584,2011,3,9,9.475,6.356,6.608,8.7715,6.8516,9.7794,9.773,32.229,0.19744,0.16135,0.0755,0.05408,0.06943,0.0757,-0.00729,-0.00213,0.03011,0.01875,-0.01425,-0.00316
1608,2011,3,10,9.5684,6.312,6.5703,8.73,6.8126,9.792,9.7825,28.799,0.11912,0.08038,0.03994,0.02831,0.02494,-0.00645,-0.00565,-0.00024,0.04815,0.02615,-0.00838,0.00583
1632,2011,3,11,9.445,6.2484,6.5782,8.6726,6.848,9.7361,9.7476,26.781,0.05623,-0.02851,0.03361,0.0271,-0.02355,-0.0896,7e-05,0.00658,0.03333,0.02029,0.01565,0.01863
1656,2011,3,12,9.4031,6.1025,6.5165,8.6655,6.8098,9.7308,9.7454,26.529,-0.0217,-0.0932,0.00672,-0.00175,-0.07844,-0.11527,0.00038,0.00185,0.02188,0.01765,0.02115,0.01475
1680,2011,3,13,9.4134,6.0125,6.4927,8.6879,6.8086,9.7336,9.7524,27.423,-0.00603,-0.08683,0.02863,0.01547,0.00379,-0.06734,-0.01297,0.00318,0.05327,0.0265,-0.01408,0.00864
1704,2011,3,14,9.4655,6.0575,6.5625,8.7598,6.8858,9.7359,9.7568,31.341,0.05821,-0.02614,0.02706,0.01519,0.11808,0.0089,-0.01181,-0.01156,0.05896,0.02332,-0.03883,-0.01246
1728,2011,3,15,9.371,6.1225,6.6205,8.7561,6.9476,9.6975,9.7495,32.545,0.10395,-0.00971,0.02982,0.01538,0.17435,0.01591,-0.00925,-0.00321,0.06464,0.02897,-0.03146,-0.00186
1752,2011,3,16,9.4225,6.1271,6.6088,8.7644,6.9339,9.6926,9.7449,30.949,0.08719,-0.00992,0.01038,0.00217,0.13274,0.00185,-0.00276,-0.0034,0.01127,0.00069,-0.01948,-0.00259
1776,2011,3,17,9.4106,6.067,6.5367,8.7393,6.8574,9.6797,9.7322,28.31,0.06902,-0.02433,0.04449,0.02433,0.06853,-0.02097,-0.0049,0.00741,0.02625,0.01698,-0.00791,0.01413
1800,2011,3,18,9.3894,6.0237,6.4989,8.7234,6.8218,9.6454,9.6966,27.481,0.03205,-0.04151,0.01705,0.00543,0.0431,-0.03546,-0.0039,-0.00212,0.03179,0.01228,-0.00688,0.00441
1824,2011,3,19,9.5665,6.0085,6.5383,8.8901,6.8952,9.6975,9.7517,27.251,0.00186,-0.11073,0.04268,0.02384,0.01715,-0.08696,-8e-05,0.00698,0.02324,0.00553,0.00542,0.02225
1848,2011,3,20,9.5166,5.837,6.4249,8.8354,6.8044,9.6697,9.7234,26.234,-0.09113,-0.17825,-0.00341,-0.01229,-0.07188,-0.12583,0.00613,0.00932,0.00701,0.00331,0.02289,0.02199
1872,2011,3,21,9.4684,5.6822,6.3254,8.7863,6.7245,9.6545,9.7062,25.883,-0.1329,-0.21192,0.00248,-0.00531,-0.11609,-0.11617,-0.00054,0.01042,-0.01599,-0.00531,0.03704,0.02493
1896,2011,3,22,9.4295,5.7048,6.3738,8.8192,6.7771,9.6388,9.6837,26.758,-0.06334,-0.12558,-0.00332,-0.01894,-0.02587,-0.01099,-0.0056,-0.00585,0.00145,-0.0044,0.00841,-0.0079
1920,2011,3,23,9.6319,5.8756,6.4794,8.8562,6.864,9.8504,9.9064,26.5,0.07456,-0.00053,0.04358,0.01601,0.10666,0.08635,-0.01081,0.00071,-0.00184,-0.00562,-0.02853,-0.00456
1944,2011,3,24,9.6604,6.0391,6.5467,8.8819,6.9082,9.8481,9.8899,26.605,0.13456,0.07176,0.06359,0.02642,0.11402,0.10465,0.00122,-0.00792,0.01617,0.00647,-0.01834,-0.01816
1968,2011,3,25,9.6793,6.1231,6.5457,8.8757,6.8846,9.8399,9.869,26.028,0.14746,0.08076,0.06177,0.03906,0.06682,0.07066,-0.00353,0.0009,0.01778,0.00616,-0.01052,-0.00167
1992,2011,3,26,9.6993,6.1918,6.5628,8.8693,6.8881,9.827,9.8452,25.529,0.14781,0.08897,0.04361,0.02112,0.04396,0.05605,-0.00163,-0.00487,0.01121,0.00034,-0.00952,-0.01034
2016,2011,3,27,9.633,6.3064,6.6415,8.8408,6.9553,9.7802,9.8163,24.676,0.19704,0.1068,0.072,0.04571,0.06455,0.05838,-0.00295,-0.00983,0.02616,0.01559,-0.01422,-0.00978
2040,2011,3,28,9.6534,6.3841,6.6837,8.8576,6.9835,9.7738,9.8002,24.598,0.2029,0.13312,0.04749,0.02055,0.09048,0.06273,-0.00433,-0.00036,0.01266,0.00142,-0.01365,-0.00285
2064,2011,3,29,9.6701,6.336,6.6092,8.8237,6.8979,9.7681,9.787,24.435,0.14457,0.07223,0.06093,0.0413,-0.0021,-0.00454,2e-05,0.00636,0.00984,0.0044,0.01373,0.0161
2088,2011,3,30,9.7322,6.2357,6.5299,8.7874,6.8267,9.7713,9.788,24.253,0.05939,0.00754,0.03759,0.02149,-0.08428,-0.05307,0.00319,0.00415,0.01823,0.00764,0.01929,0.01392
2112,2011,3,31,9.8186,6.1289,6.4553,8.6069,6.7526,9.7498,9.7832,22.656,0.02573,-0.04583,0.04066,0.02827,-0.0916,-0.08076,0.00318,-0.00465,0.01575,0.01121,0.0294,0.00899
2136,2011,4,1,9.8542,6.0611,6.4197,8.5939,6.7233,9.7834,9.8125,21.916,0.00857,-0.04069,0.03935,0.02056,-0.07294,-0.05387,-0.00148,0.0084,-0.00497,-0.00859,0.0295,0.01918
2160,2011,4,2,9.7533,5.9815,6.3488,8.5561,6.6543,9.8118,9.8402,21.188,-0.00718,-0.05358,0.03842,0.02262,-0.08934,-0.05227,0.00361,0.00558,-0.00576,-0.00062,0.04276,0.01518
2184,2011,4,3,9.6842,5.8754,6.2583,8.4899,6.5627,9.8066,9.8371,22.678,-0.08493,-0.10234,0.0317,0.01641,-0.13943,-0.09688,0.00745,0.0177,-0.02226,-0.01175,0.05534,0.02914
2208,2011,4,4,9.6545,5.6993,6.1051,8.2766,6.4015,9.668,9.6957,23.037,-0.16091,-0.18716,0.03928,0.02823,-0.19196,-0.1617,0.00618,0.01051,0.01553,0.01769,0.06504,0.03486
2232,2011,4,5,9.6472,5.6061,6.0682,8.2741,6.3819,9.6651,9.6946,22.777,-0.21282,-0.21105,-0.01217,-0.01352,-0.17337,-0.14628,0.00511,0.00739,0.007,-0.00133,0.04815,0.02493
2256,2011,4,6,9.6095,5.5476,6.0426,8.2995,6.3698,9.6656,9.6972,22.89,-0.1787,-0.18541,-0.00147,0.00107,-0.06162,-0.07973,-0.00185,0.01039,-0.00198,-0.00283,0.02135,0.01713
2280,2011,4,7,9.5147,5.6319,6.126,8.3392,6.4512,9.6496,9.6746,23.887,-0.06904,-0.05416,0.002,-0.00673,0.06161,0.05533,0.00193,-0.00516,-0.01047,-0.00221,-0.01476,-0.01787
2304,2011,4,8,9.3096,5.7016,6.1275,8.2763,6.4316,9.6516,9.6755,25.192,0.04388,0.07492,0.04648,0.02659,0.14915,0.15948,-0.00106,0.00179,-0.03343,-0.02032,-0.03318,-0.01575
2328,2011,4,9,9.3176,5.8304,6.1812,8.2711,6.4633,9.652,9.6701,27.372,0.07415,0.11384,0.05644,0.02412,0.14065,0.15751,0.01038,-0.00725,-0.02289,-0.0101,-0.02184,-0.0219
2352,2011,4,10,9.3998,5.8526,6.1456,8.2265,6.4115,9.6736,9.6904,26.626,0.02195,0.05434,0.07258,0.04053,-0.00348,0.06352,0.00347,0.00611,0.01595,0.00739,0.02121,0.00072
2376,2011,4,11,9.5433,5.9063,6.1746,8.228,6.428,9.6998,9.7151,24.474,0.01479,0.06322,0.04136,0.01642,-0.02928,0.05792,0.00115,-0.00546,0.01624,0.0044,0.01144,-0.01229
2400,2011,4,12,9.6738,5.8971,6.1516,8.1896,6.3982,9.8823,9.9191,23.368,0.0145,0.0485,0.05918,0.03497,-0.0086,0.0418,-0.00372,0.00341,-0.00105,-0.00069,0.01189,0.00412
2424,2011,4,13,9.6164,5.8844,6.1398,8.179,6.3837,9.8849,9.9261,23.04,-0.03548,0.00624,0.04183,0.01496,-0.07317,-0.00976,0.00902,0.00138,0.01488,0.00601,0.03187,0.00462
2448,2011,4,14,9.595,5.8036,6.085,8.1601,6.3334,9.8756,9.9207,21.161,-0.11041,-0.06946,0.02678,0.01599,-0.10107,-0.07294,-0.00124,0.01813,0.02857,0.01656,0.03492,0.0264
2472,2011,4,15,9.5939,5.7359,6.068,8.1896,6.3269,9.8596,9.9084,20.683,-0.15025,-0.1097,0.00553,-0.00424,-0.09516,-0.08548,0.00628,0.00067,0.02682,0.00756,0.02303,0.00643
2496,2011,4,16,9.6174,5.8155,6.1974,8.3654,6.4771,10.054,10.121,22.888,-0.08824,-0.09115,0.02218,0.01192,0.00914,-0.03632,-0.00441,0.00566,0.01219,0.00773,-0.00231,0.00476
2520,2011,4,17,9.6873,5.8005,6.2036,8.3644,6.487,10.071,10.137,21.505,-0.09138,-0.07011,0.02351,0.01317,0.00711,-0.01768,0.00477,0.00195,-0.00122,0.00024,-0.00449,0.00315
2544,2011,4,18,9.7835,5.7573,6.1582,8.3347,6.4413,10.079,10.14,20.677,-0.10098,-0.08119,0.01515,0.00467,-0.04288,-0.02777,0.00479,0.00591,-0.01494,-0.00951,0.02817,0.00847
2568,2011,4,19,9.6938,5.7742,6.1671,8.3191,6.4447,10.077,10.136,22.01,-0.07514,-0.03933,0.02356,0.01202,-0.02677,0.01177,0.00069,0.00567,-0.02462,-0.01663,0.02011,0.0003
2592,2011,4,20,9.9783,5.7089,6.0634,8.2183,6.3168,10.297,10.342,23.43,-0.05071,0.00239,0.02133,0.01598,0.00359,0.04388,-0.00029,0.00039,-0.01079,-0.00311,0.01049,-0.00364
2616,2011,4,21,9.9999,5.7508,6.0784,8.1999,6.3221,10.289,10.329,24.286,-0.03903,0.01689,0.01843,0.01577,0.00452,0.04569,0.00043,0.00204,-0.02289,-0.01805,0.00767,-0.00331
2640,2011,4,22,9.9463,5.777,6.0787,8.1691,6.3151,10.3,10.342,24.594,-0.03156,0.02009,0.0157,0.01864,-0.02825,0.036,0.00117,0.00011,0.00338,0.00865,0.02397,-0.0009
2664,2011,4,23,10.004,5.8612,6.1351,8.1781,6.3636,10.327,10.37,25.262,0.02552,0.09484,0.0355,0.03286,0.02474,0.09816,-0.00594,-0.01204,-0.01671,-0.02078,-0.00168,-0.02224
2688,2011,4,24,9.8432,5.8561,6.0793,7.9251,6.28,10.218,10.296,24.397,0.11401,0.17366,0.0105,0.00708,0.10634,0.16406,-0.00545,-0.01389,0.00629,0.00341,-0.03212,-0.02887
2712,2011,4,25,9.874,5.9671,6.1388,7.8849,6.3253,10.248,10.33,22.791,0.17109,0.22987,0.05218,0.04702,0.11137,0.19504,-0.00607,-0.00485,0.00361,-0.00047,-0.03853,-0.02057
2736,2011,4,26,9.975,6.0265,6.1672,7.8572,6.3406,10.281,10.363,21.62,0.15491,0.21278,0.03198,0.03271,0.04895,0.15086,-0.00448,-0.00243,0.01857,0.0156,-0.00775,-0.0153
2760,2011,4,27,10.053,6.0411,6.175,7.835,6.3419,10.3,10.387,20.414,0.10481,0.16544,0.03667,0.04121,-0.02117,0.0866,0.00227,-0.00017,-0.00017,-0.00271,0.01484,-0.0103
2784,2011,4,28,10.273,5.9783,6.1191,8.1303,6.2934,10.605,10.736,22.531,0.02764,0.10976,0.01641,0.02521,-0.07549,0.03231,0.00876,-0.01431,0.0101,0.00251,0.03694,-0.0081
2808,2011,4,29,10.203,5.9281,6.077,8.074,6.2514,10.609,10.736,21.88,-0.0285,0.04383,0.00168,0.01735,-0.09127,-0.02307,0.00188,0.01008,-0.00063,0.0034,0.03399,0.02012
2832,2011,4,30,10.155,5.8768,6.0544,8.0222,6.2338,10.62,10.734,20.467,-0.08227,-0.01363,-0.01772,-0.00233,-0.12475,-0.05804,0.00757,0.0035,-0.0115,-0.0014,0.05013,0.01594
2856,2011,5,1,10.183,5.8362,6.0407,8.0159,6.226,10.642,10.74,22.027,-0.09792,-0.02381,-4e-05,0.01352,-0.10537,-0.05041,0.00488,0.00267,-0.02065,-0.01214,0.04198,0.01127
2880,2011,5,2,10.459,5.3171,5.5103,7.7327,5.6942,10.574,10.606,20.541,-0.13288,0.04172,-0.04534,-0.01863,-0.00896,0.04887,0.01601,-0.00657,0.00487,0.00163,0.00796,-0.00937
2904,2011,5,3,10.676,5.3116,5.5189,7.7295,5.6986,10.601,10.608,20.862,-0.08233,0.04975,-0.01748,-6e-05,0.03633,0.07481,-0.00394,0.00127,-0.02469,-0.0239,-0.00328,-0.01483
